Table 1
,,,,,
Orbital,Occupation,Energy (Hartree),,,
155,0.0,0.262492,,,
156,0.0,0.267506,,,
157,0.0,0.314852,,,
158,0.0,0.318417,,,
159,0.0,0.320858,,,
160,0.0,0.341001,,,
161,0.0,0.354536,,,
162,0.0,0.469956,,,
163,0.0,0.482669,,,
164,0.0,0.508748,,,
165,0.0,0.525354,,,
166,0.0,0.538029,,,
167,0.0,0.549134,,,
168,0.0,0.552948,,,
169,0.0,0.557279,,,
170,0.0,0.564975,,,
171,0.0,0.572773,,,
172,0.0,0.586752,,,
173,0.0,0.592538,,,
174,0.0,0.595011,,,
175,0.0,0.603425,,,
176,0.0,0.609272,,,
177,0.0,0.613346,,,
178,0.0,0.619046,,,
179,0.0,0.624042,,,
180,0.0,0.628845,,,
181,0.0,0.630852,,,
182,0.0,0.638503,,,
183,0.0,0.640761,,,
184,0.0,0.644694,,,
185,0.0,0.65261,,,
186,0.0,0.663512,,,
187,0.0,0.6662,,,
188,0.0,0.669254,,,
189,0.0,0.676997,,,
190,0.0,0.685956,,,
191,0.0,0.691275,,,
192,0.0,0.696212,,,
193,0.0,0.698715,,,
194,0.0,0.701359,,,
195,0.0,0.705464,,,
196,0.0,0.708616,,,
197,0.0,0.711549,,,
198,0.0,0.714976,,,
199,0.0,0.717221,,,
200,0.0,0.719372,,,
201,0.0,0.722569,,,
202,0.0,0.723478,,,
203,0.0,0.727443,,,
204,0.0,0.731042,,,
205,0.0,0.734815,,,
206,0.0,0.740346,,,
207,0.0,0.741077,,,
208,0.0,0.74464,,,
209,0.0,0.748443,,,
210,0.0,0.748864,,,
211,0.0,0.758805,,,
212,0.0,0.759661,,,
213,0.0,0.760707,,,
214,0.0,0.764952,,,
215,0.0,0.771316,,,
216,0.0,0.773775,,,
217,0.0,0.773959,,,
218,0.0,0.775753,,,
219,0.0,0.781317,,,
220,0.0,0.787149,,,
221,0.0,0.797515,,,
222,0.0,0.800483,,,
223,0.0,0.804464,,,
224,0.0,0.807271,,,
225,0.0,0.810938,,,
226,0.0,0.83323,,,
227,0.0,0.86321,,,
228,0.0,0.874718,,,
229,0.0,0.879921,,,
230,0.0,0.884911,,,
231,0.0,0.891065,,,
232,0.0,0.90145,,,
233,0.0,0.90309,,,
234,0.0,0.905142,,,
235,0.0,0.908426,,,
236,0.0,0.922995,,,
237,0.0,0.927125,,,
238,0.0,0.952267,,,
239,0.0,0.989169,,,
240,0.0,1.005221,,,
241,0.0,1.036102,,,
242,0.0,1.063411,,,
243,0.0,1.077978,,,
244,0.0,1.086266,,,
245,0.0,1.091974,,,
246,0.0,1.131388,,,
247,0.0,1.143817,,,
